Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Do you ever get hurt?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you breathe	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever breathe	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
can you masticate?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you burp?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you chew?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you crawl?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you cry?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you dream	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you eat?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you fart?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you breathe	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you get tired?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you yawn?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you pee?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you poop?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you sneeze?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you sweat?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you throw up?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you vomit?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever pee?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you get hurt?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you sweat?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have skin?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have teeth?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have toes?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you masticate?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you pee?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you poop?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever get tired?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you sneeze?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have hair?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you throw up?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you vomit?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you yawn?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Don't you ever masticate?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Don't you ever sleep?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have a stomach?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have intestines?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you sleep?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you get tired?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever poop?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever sneeze?	I don't have a body.	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
